0	44	219	192	92	189	8	237	224	200	193	166	177	68	44	68	134	24	85	104
79	223	191	124	11	131	137	50	27	185	102	181	26	150	33	62	223	107	177	165
198	215	136	17	69	114	178	108	224	19	255	244	64	41	198	227	139	182	52	199
72	97	29	173	13	195	150	244	241	31	227	106	123	63	77	199	208	51	59	218
62	163	13	49	14	77	208	35	248	212	128	254	138	133	110	120	208	99	72	14
216	163	12	2	176	122	48	220	16	127	43	177	37	187	75	241	109	224	77	246
115	248	165	100	173	138	226	60	195	63	123	67	33	37	205	247	35	163	89	92
231	98	0	69	126	227	36	193	234	73	2	54	159	244	151	43	22	159	92	137
77	198	210	168	146	98	16	132	142	253	174	108	194	215	193	213	37	23	118	113
22	209	237	154	81	253	212	94	241	121	73	253	86	175	69	248	201	245	1	176
214	106	149	147	12	91	136	238	86	6	159	164	10	158	223	111	225	157	105	95
142	59	208	60	218	64	180	126	228	44	62	135	105	56	37	12	0	39	134	42
2	112	65	102	230	249	214	161	95	163	70	93	85	23	150	14	137	89	137	245
135	190	27	111	211	67	215	159	140	137	40	251	228	136	23	251	171	237	17	171
200	219	255	117	45	29	237	199	34	244	244	167	149	203	143	218	190	34	127	89
224	135	72	168	173	202	144	157	30	196	220	206	201	20	26	71	236	103	136	166
235	216	71	100	204	226	243	36	160	80	204	254	0	15	6	126	23	175	129	179
58	79	47	227	126	251	210	160	7	204	99	115	197	209	169	254	123	47	212	63
47	61	129	188	162	157	146	41	163	216	98	126	25	105	133	80	215	45	59	235
203	52	61	48	123	33	241	169	96	128	206	1	109	94	127	224	33	244	130	136
